"slug","title","category","file_name","asset_path","alt_text","prompt","status"
"aminokyseliny-bcaa-eaa","Aminokyseliny: BCAA a EAA – rozdiely a použitie","aminokyseliny","aminokyseliny-bcaa-eaa.webp","public/assets/img/articles/heroes/aminokyseliny-bcaa-eaa.webp","Aminokyseliny: BCAA a EAA – rozdiely a použitie","Realistická profesionálna hero fotografia bez textu, aminokyselinový doplnok, shaker a jemné fitness pozadie, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"bcaa-vs-eaa","BCAA vs. EAA – ktoré a kedy","aminokyseliny","bcaa-vs-eaa.webp","public/assets/img/articles/heroes/bcaa-vs-eaa.webp","BCAA vs. EAA – ktoré a kedy","Realistická profesionálna hero fotografia bez textu, dve dózy športových doplnkov vedľa seba na čistom stole, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"chudnutie-tip","Chudnutie – rýchle tipy, ktoré fungujú","chudnutie","chudnutie-tip.webp","public/assets/img/articles/heroes/chudnutie-tip.webp","Chudnutie – rýchle tipy, ktoré fungujú","Realistická profesionálna hero fotografia bez textu, zdravé raňajky, meter a jemný fitness koncept, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"clear-protein","Clear proteín – čo to je a kedy dáva zmysel","proteiny","clear-protein.webp","public/assets/img/articles/heroes/clear-protein.webp","Clear proteín – čo to je a kedy dáva zmysel","Realistická profesionálna hero fotografia bez textu, číry proteínový nápoj s ovocím a shakerom, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"doplnky-vyzivy","Doplnky výživy – top výber 2025","vyziva","doplnky-vyzivy.webp","public/assets/img/articles/heroes/doplnky-vyzivy.webp","Doplnky výživy – top výber 2025","Realistická profesionálna hero fotografia bez textu, prehľad doplnkov výživy na minimalistickom stole, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"doplnky-vyzivy-top-vyber-2025","Doplnky výživy – top výber 2025","","doplnky-vyzivy-top-vyber-2025.webp","public/assets/img/articles/heroes/doplnky-vyzivy-top-vyber-2025.webp","Doplnky výživy – top výber 2025","Realistická profesionálna hero fotografia bez textu, doplnok výživy súvisiaci s témou „Doplnky výživy – top výber 2025“, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"horcik","Horčík – typy, vstrebávanie a koľko ho treba","mineraly","horcik.webp","public/assets/img/articles/heroes/horcik.webp","Horčík – typy, vstrebávanie a koľko ho treba","Realistická profesionálna hero fotografia bez textu, magnéziové kapsuly alebo minerálny doplnok na kamennom podklade, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"horcik-ktory-je-najlepsi-a-preco","Horčík – ktorý je najlepší a prečo?","mineraly","horcik-ktory-je-najlepsi-a-preco.webp","public/assets/img/articles/heroes/horcik-ktory-je-najlepsi-a-preco.webp","Horčík – ktorý je najlepší a prečo?","Realistická profesionálna hero fotografia bez textu, kapsuly horčíka a minerálny doplnok v modernom packshote, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"imunita-prirodne-latky-ktore-funguju","Imunita – 5 prírodných látok, ktoré fungujú","imunita","imunita-prirodne-latky-ktore-funguju.webp","public/assets/img/articles/heroes/imunita-prirodne-latky-ktore-funguju.webp","Imunita – 5 prírodných látok, ktoré fungujú","Realistická profesionálna hero fotografia bez textu, vitamíny, citrusy a zdravý lifestyle detail, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kedy-brat-kreatin-a-kolko","Kedy brať kreatín a koľko – načasovanie, dávky a pauzy","kreatin","kedy-brat-kreatin-a-kolko.webp","public/assets/img/articles/heroes/kedy-brat-kreatin-a-kolko.webp","Kedy brať kreatín a koľko – načasovanie, dávky a pauzy","Realistická profesionálna hero fotografia bez textu, kreatínová dóza, shaker a tréningový denník, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
